,soc_bid_1,soc_bid_2,soc_bid_3,soc_bid_4,soc_bid_5
136,31.861328,30.96676,29.485321,29.856726,28.225534
137,32.59011,31.906769,30.79272,30.90849,28.626892
138,33.50345,33.059124,32.338364,32.27981,29.390377
139,34.387737,33.84393,33.220028,32.59864,28.929596
140,34.841354,34.058083,33.366333,32.330513,28.228123
141,34.794468,33.661827,32.821507,31.866604,28.076742
142,34.559555,33.068214,32.086285,31.213287,27.737268
143,33.930443,32.28091,31.268223,30.554562,27.423779
144,33.934845,32.073864,30.903381,30.243006,27.37464
145,34.059967,32.00875,30.688492,30.063969,27.442368
146,34.02684,31.847393,30.407467,29.832428,27.43684
147,34.433945,32.115902,30.47461,29.861801,27.59282
148,34.135967,31.661678,29.872955,29.314266,27.31818
149,33.90875,31.296764,29.399128,28.884018,27.094934
150,33.330746,30.527344,28.513897,28.08602,26.621456
151,33.138355,30.137264,27.947107,27.516308,26.283274
152,34.0452,30.934692,28.51509,27.965214,26.727093
153,35.131786,31.884363,29.185694,28.455002,27.135641
154,35.759155,32.397713,29.446838,28.588726,27.260609
155,36.523865,33.06585,29.866465,28.8682,27.527166
156,37.462013,33.769524,30.323065,29.207775,27.89508
157,37.863075,34.009544,30.358364,29.146204,27.87496
158,38.17299,34.20685,30.354334,29.048824,27.815983
159,38.499462,34.367607,30.33263,28.944397,27.761251
160,38.546375,34.351543,30.128643,28.649815,27.533207
161,39.264,34.88311,30.416342,28.80318,27.711908
162,40.07564,35.53252,30.872889,29.146992,28.006886
163,41.336155,36.648514,31.752817,29.856665,28.50265
164,42.930054,38.10807,32.919945,30.785873,29.156445
165,43.935326,39.037132,33.662643,31.402002,29.606699
166,45.570045,40.547173,34.904396,32.399174,30.363022
167,46.952057,41.877968,36.06601,33.409397,31.125132
168,48.228386,43.05819,37.023182,34.16797,31.596684
169,49.268898,44.006786,37.776115,34.764034,31.992193
170,50.452038,45.073128,38.632572,35.466747,32.49312
171,52.475853,46.943787,40.303978,36.9821,33.710266
172,53.849815,48.126778,41.319016,38.02535,34.739895
173,55.131245,49.238586,42.27942,39.002674,35.69788
174,56.07854,50.296715,43.42919,40.113373,36.665565
175,56.757282,51.300285,44.714413,41.3549,37.695423
176,57.80302,52.56131,46.15125,42.702816,38.785454
177,58.506763,53.37273,47.06681,43.51886,39.370197
178,57.933643,52.92616,46.729015,43.2286,39.104504
179,58.104237,53.311928,47.309135,43.75344,39.45701
180,57.53031,52.717785,46.70556,43.139885,38.854836
181,59.163948,54.6521,48.90462,45.15999,40.419086
182,59.773964,55.40081,49.774254,45.96451,41.08204
183,62.706306,58.93332,53.81539,49.818016,44.29817
184,65.69946,62.582794,58.00474,53.880707,47.88114
185,67.63236,65.14815,61.109283,56.92924,50.328476
186,67.84258,65.69649,61.97564,57.805683,50.945946
187,68.046936,66.45748,63.202576,59.396538,52.59577
188,67.43075,66.19424,63.219654,59.985382,53.6992
189,66.84746,65.90588,63.173595,60.458057,54.6545
190,66.55986,66.43689,64.33443,63.09485,58.62919
191,65.80452,65.96264,64.15057,63.48512,59.677105
192,64.9214,65.192245,63.56507,63.217735,59.87615
193,64.430305,64.80235,63.33622,63.360878,60.55786
194,63.261524,63.746834,62.478558,62.85741,60.60967
195,62.227623,62.820515,61.733295,62.480347,60.796223
196,60.891956,61.59588,60.705696,61.8422,60.779358
197,60.347694,61.143932,60.394226,61.71579,60.88213
198,59.67973,60.543266,59.90608,61.38277,60.74169
199,58.930443,59.849617,59.338184,60.9315,60.426292
200,58.52738,59.49366,59.09477,60.828747,60.451447
201,57.991722,58.994854,58.695374,60.565697,60.333637
202,57.491444,58.52006,58.294086,60.29052,60.19886
203,56.769188,57.824745,57.681496,59.80725,59.86015
204,56.32675,57.33537,57.197742,59.377037,59.516644
205,56.090874,56.973885,56.749367,58.947487,59.1685
206,58.1078,58.80912,58.368492,60.743145,61.182373
207,60.207695,60.34066,59.733448,62.04281,62.489216
208,61.491505,61.122826,60.353783,62.565643,62.98877
209,62.359093,61.562004,60.673195,62.772316,63.186607
210,62.800488,61.86767,60.77436,62.609375,62.851788
211,62.750114,61.702076,60.448936,62.035656,62.14741
212,62.191395,61.023144,59.674736,61.086082,60.913002
213,62.18463,60.8953,59.434246,60.7147,60.33122
214,62.162018,60.858307,59.402283,60.63806,60.11512
215,62.105873,60.717842,59.21029,60.35736,59.661407
216,61.93998,60.537407,59.038574,60.14019,59.29839
217,62.07963,60.64863,59.127148,60.16079,59.16629
218,62.099815,60.637947,59.088135,60.05088,58.904285
219,62.089287,60.60622,59.037373,59.943806,58.65985
220,62.343037,60.888073,59.33797,60.200024,58.765038
221,62.604485,61.2089,59.705414,60.53004,58.945415
