,interval_start_local,interval_end_local,net_load,renewables,renewables_to_load_ratio,primary_power_source,load.load,load_forecast.publish_time_local,load_forecast.load_forecast,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other,storage.supply,storage.stand_alone_batteries,storage.hybrid_batteries,battery_discharge_to_load_ratio,battery_charge_to_load_ratio
28,2021-12-31 02:20:00-08:00,2021-12-31 02:25:00-08:00,18357,5040,0.24302039635469405,imports,20739,2021-12-30 09:10:00-08:00,21124.343333333334,-40,2422,884,277,208,149,19,2265,6839,1140,-290,8744,0,,,,-0.01398331645691692,0.013790479813590755
29,2021-12-31 02:25:00-08:00,2021-12-31 02:30:00-08:00,18272,5079,0.24546904451210672,imports,20691,2021-12-30 09:10:00-08:00,21074.65666666667,-40,2459,883,278,209,149,19,2265,6741,1141,-290,8751,0,,,,-0.014015755642549902,0.013822029455221391
30,2021-12-31 02:30:00-08:00,2021-12-31 02:35:00-08:00,18168,5137,0.2487892289810151,imports,20648,2021-12-30 09:10:00-08:00,21024.97,-41,2521,883,280,208,149,20,2265,6672,1137,-285,8702,0,,,,-0.013802789616427742,0.013614866478765586
31,2021-12-31 02:35:00-08:00,2021-12-31 02:40:00-08:00,18098,5117,0.2484704282800816,imports,20594,2021-12-30 09:10:00-08:00,21005.475833333334,-41,2537,884,280,208,149,19,2266,6673,1100,-302,8670,0,,,,-0.014664465378265514,0.014452526799387442
32,2021-12-31 02:40:00-08:00,2021-12-31 02:45:00-08:00,18051,5119,0.2491967675980917,imports,20542,2021-12-30 09:10:00-08:00,20985.981666666667,-41,2532,884,279,209,148,19,2264,6612,1108,-286,8680,0,,,,-0.013922694966410281,0.013731515267908584
33,2021-12-31 02:45:00-08:00,2021-12-31 02:50:00-08:00,17998,5144,0.251061545219386,imports,20489,2021-12-30 09:10:00-08:00,20966.487500000003,-41,2532,884,279,209,148,20,2264,6534,1133,-298,8652,0,,,,-0.014544389672507199,0.014335883003800452
34,2021-12-31 02:50:00-08:00,2021-12-31 02:55:00-08:00,17933,5124,0.25078308535630384,imports,20432,2021-12-30 09:10:00-08:00,20946.993333333336,-41,2540,884,278,209,149,19,2266,6453,1105,-263,8625,0,,,,-0.012871965544244322,0.012708383667552548
35,2021-12-31 02:55:00-08:00,2021-12-31 03:00:00-08:00,17883,5117,0.2511164548265201,imports,20377,2021-12-30 09:10:00-08:00,20927.49916666667,-41,2535,883,277,208,148,20,2266,6389,1107,-247,8582,0,,,,-0.01212150954507533,0.011976338246702871
36,2021-12-31 03:00:00-08:00,2021-12-31 03:05:00-08:00,17781,5178,0.25420982866120084,imports,20369,2021-12-30 09:10:00-08:00,20908.005,-41,2629,884,276,208,149,20,2265,6343,1073,-251,8521,0,,,,-0.012322647159899848,0.012172647914645975
37,2021-12-31 03:05:00-08:00,2021-12-31 03:10:00-08:00,17753,5152,0.2528216704288939,imports,20378,2021-12-30 09:10:00-08:00,20888.510833333334,-42,2667,883,277,209,161,19,2266,6570,997,-304,8384,0,,,,-0.014918048876239081,0.014698771878928537
38,2021-12-31 03:10:00-08:00,2021-12-31 03:15:00-08:00,17713,5167,0.25353287536800784,imports,20380,2021-12-30 09:10:00-08:00,20869.016666666666,-42,2709,883,278,209,184,19,2267,6592,946,-325,8353,0,,,,-0.015947006869479884,0.01569669162038155
39,2021-12-31 03:15:00-08:00,2021-12-31 03:20:00-08:00,17644,5240,0.2572915643719925,imports,20366,2021-12-30 09:10:00-08:00,20849.5225,-43,2765,883,276,208,184,19,2266,6461,967,-324,8425,0,,,,-0.015908867720710988,0.01565973900434993
40,2021-12-31 03:20:00-08:00,2021-12-31 03:25:00-08:00,17601,5328,0.26185678478399765,imports,20347,2021-12-30 09:10:00-08:00,20830.028333333335,-43,2789,884,276,209,184,19,2266,6275,1029,-292,8489,0,,,,-0.014351009976900772,0.014147972285478948
41,2021-12-31 03:25:00-08:00,2021-12-31 03:30:00-08:00,17563,5460,0.2683046683046683,imports,20350,2021-12-30 09:10:00-08:00,20810.534166666668,-44,2831,884,278,208,184,19,2265,6203,1119,-274,8372,0,,,,-0.013464373464373465,0.013285492629945694
42,2021-12-31 03:30:00-08:00,2021-12-31 03:35:00-08:00,17537,5515,0.2710872984663783,imports,20344,2021-12-30 09:10:00-08:00,20791.04,-44,2851,883,280,208,184,19,2266,6174,1153,-289,8331,0,,,,-0.014205662603224537,0.014006688314835458
43,2021-12-31 03:35:00-08:00,2021-12-31 03:40:00-08:00,17545,5503,0.27076362920684904,imports,20324,2021-12-30 09:10:00-08:00,20809.060833333333,-43,2822,883,281,208,183,20,2266,6189,1169,-288,8318,0,,,,-0.014170438889982286,0.01397244323694935
44,2021-12-31 03:40:00-08:00,2021-12-31 03:45:00-08:00,17617,5439,0.2675619834710744,imports,20328,2021-12-30 09:10:00-08:00,20827.08166666667,-44,2755,883,279,208,182,19,2266,6190,1176,-248,8277,0,,,,-0.012199921290830381,0.012052877138413685
45,2021-12-31 03:45:00-08:00,2021-12-31 03:50:00-08:00,17661,5394,0.2653743973236249,imports,20326,2021-12-30 09:10:00-08:00,20845.1025,-44,2709,882,280,209,183,19,2266,6216,1175,-239,8266,0,,,,-0.011758339073108335,0.01162168733284707
46,2021-12-31 03:50:00-08:00,2021-12-31 03:55:00-08:00,17691,5376,0.2643197797335169,imports,20339,2021-12-30 09:10:00-08:00,20863.123333333333,-44,2692,883,279,209,184,19,2266,6244,1173,-240,8279,0,,,,-0.011799990166674861,0.011662374265027455
47,2021-12-31 03:55:00-08:00,2021-12-31 04:00:00-08:00,17769,5328,0.26162533758900075,imports,20365,2021-12-30 09:10:00-08:00,20881.14416666667,-44,2640,883,279,209,184,19,2266,6252,1177,-209,8317,0,,,,-0.010262705622391358,0.010158452415670264
48,2021-12-31 04:00:00-08:00,2021-12-31 04:05:00-08:00,17863,5288,0.258936441092939,imports,20422,2021-12-30 09:10:00-08:00,20899.165,-44,2603,883,278,209,185,19,2266,6244,1174,-179,8354,0,,,,-0.008765057291156595,0.008688898597155478
49,2021-12-31 04:05:00-08:00,2021-12-31 04:10:00-08:00,18037,5181,0.25301557845387507,imports,20477,2021-12-30 09:10:00-08:00,20917.185833333333,-44,2484,883,281,208,183,20,2267,6242,1186,-114,8355,0,,,,-0.005567221761000146,0.005536399397795154
50,2021-12-31 04:10:00-08:00,2021-12-31 04:15:00-08:00,18168,5113,0.24888045171339565,imports,20544,2021-12-30 09:10:00-08:00,20935.20666666667,-44,2420,883,281,209,181,19,2266,6310,1183,-72,8296,0,,,,-0.0035046728971962616,0.0034924330616996507
51,2021-12-31 04:15:00-08:00,2021-12-31 04:20:00-08:00,18186,5089,0.2474352117469733,imports,20567,2021-12-30 09:10:00-08:00,20953.2275,-45,2426,878,281,208,181,19,2266,6371,1160,-76,8373,0,,,,-0.0036952399474886955,0.0036816354212081577
52,2021-12-31 04:20:00-08:00,2021-12-31 04:25:00-08:00,18268,5036,0.24447788727608136,imports,20599,2021-12-30 09:10:00-08:00,20971.248333333333,-44,2375,882,282,208,180,20,2266,6423,1153,-45,8398,0,,,,-0.002184572066605175,0.0021798101143189305
53,2021-12-31 04:25:00-08:00,2021-12-31 04:30:00-08:00,18323,5008,0.2426591724004264,imports,20638,2021-12-30 09:10:00-08:00,20989.26916666667,-44,2359,882,282,208,180,20,2266,6600,1141,-109,8325,0,,,,-0.005281519527085958,0.0052537716296332
54,2021-12-31 04:30:00-08:00,2021-12-31 04:35:00-08:00,18334,4980,0.24127906976744187,imports,20640,2021-12-30 09:10:00-08:00,21007.29,-44,2350,882,286,208,180,19,2266,6763,1118,-121,8238,0,,,,-0.005862403100775194,0.00582823563412167
55,2021-12-31 04:35:00-08:00,2021-12-31 04:40:00-08:00,18347,4963,0.24022265246853824,imports,20660,2021-12-30 09:10:00-08:00,21080.320833333335,-44,2357,882,286,208,180,19,2267,6807,1094,-94,8211,0,,,,-0.004549854791868344,0.004529247374000193
56,2021-12-31 04:40:00-08:00,2021-12-31 04:45:00-08:00,18337,4993,0.2414877152253821,imports,20676,2021-12-30 09:10:00-08:00,21153.35166666667,-44,2383,883,285,208,181,19,2267,6808,1097,-86,8188,0,,,,-0.004159411878506481,0.004142182834023697
57,2021-12-31 04:45:00-08:00,2021-12-31 04:50:00-08:00,18273,5020,0.2428405572755418,imports,20672,2021-12-30 09:10:00-08:00,21226.3825,-44,2443,883,282,208,181,19,2267,6752,1067,-88,8213,0,,,,-0.0042569659442724455,0.004238921001926782
58,2021-12-31 04:50:00-08:00,2021-12-31 04:55:00-08:00,18241,5077,0.245064439832022,imports,20717,2021-12-30 09:10:00-08:00,21299.413333333334,-43,2519,883,282,208,180,19,2267,6733,1048,-96,8265,0,,,,-0.004633875561133369,0.004612501801758516
59,2021-12-31 04:55:00-08:00,2021-12-31 05:00:00-08:00,18184,5251,0.25306024096385543,imports,20750,2021-12-30 09:10:00-08:00,21372.444166666668,-43,2609,883,283,208,179,19,2266,6673,1132,-118,8255,0,,,,-0.0056867469879518075,0.00565459076097374
60,2021-12-31 05:00:00-08:00,2021-12-31 05:05:00-08:00,18155,5399,0.25934287635699876,imports,20818,2021-12-30 09:10:00-08:00,21445.475,-43,2706,883,283,209,178,18,2268,6526,1183,-130,8309,0,,,,-0.006244596022672687,0.006205843039908345
61,2021-12-31 05:05:00-08:00,2021-12-31 05:10:00-08:00,18155,5612,0.2680294201929506,imports,20938,2021-12-30 09:10:00-08:00,21518.505833333333,-43,2826,883,284,208,179,20,2268,6605,1275,-186,8290,0,,,,-0.008883369949374343,0.008805150539670518
62,2021-12-31 05:10:00-08:00,2021-12-31 05:15:00-08:00,18179,5733,0.27240330704171817,imports,21046,2021-12-30 09:10:00-08:00,21591.536666666667,-51,2918,884,284,208,185,19,2268,6503,1305,-245,8433,0,,,,-0.011641166967594792,0.011507209619087877
63,2021-12-31 05:15:00-08:00,2021-12-31 05:20:00-08:00,18161,5817,0.27558271745309837,imports,21108,2021-12-30 09:10:00-08:00,21664.5675,-48,2995,883,284,209,190,19,2268,6484,1304,-244,8458,0,,,,-0.011559598256585181,0.011427500936680405
64,2021-12-31 05:20:00-08:00,2021-12-31 05:25:00-08:00,18158,5861,0.2771158392434988,imports,21150,2021-12-30 09:10:00-08:00,21737.598333333335,-44,3036,883,284,209,190,19,2268,6539,1303,-189,8378,0,,,,-0.008936170212765958,0.008857022353437369
65,2021-12-31 05:25:00-08:00,2021-12-31 05:30:00-08:00,18125,5991,0.28220829996702623,imports,21229,2021-12-30 09:10:00-08:00,21810.629166666666,-44,3148,884,286,208,190,20,2268,6503,1319,-208,8359,0,,,,-0.009797917942437232,0.009702850212249849
66,2021-12-31 05:30:00-08:00,2021-12-31 05:35:00-08:00,18155,6065,0.28480864052594507,imports,21295,2021-12-30 09:10:00-08:00,21883.66,-44,3184,884,286,208,191,20,2267,6499,1356,-231,8346,0,,,,-0.010847616811458089,0.010731208770788814
67,2021-12-31 05:35:00-08:00,2021-12-31 05:40:00-08:00,18205,6113,0.286055217594759,imports,21370,2021-12-30 09:10:00-08:00,22002.48,-44,3209,884,284,208,191,20,2268,6494,1381,-213,8350,0,,,,-0.009967243799719232,0.009868878283834499
68,2021-12-31 05:40:00-08:00,2021-12-31 05:45:00-08:00,18250,6156,0.28688600987976515,imports,21458,2021-12-30 09:10:00-08:00,22121.3,-44,3252,883,284,208,192,20,2267,6511,1381,-208,8381,0,,,,-0.009693354459875105,0.009600295393704422
69,2021-12-31 05:45:00-08:00,2021-12-31 05:50:00-08:00,18236,6218,0.28900766906809205,imports,21515,2021-12-30 09:10:00-08:00,22240.12,-44,3323,883,285,207,192,19,2267,6552,1372,-203,8323,0,,,,-0.009435277713223333,0.0093470853669767
70,2021-12-31 05:50:00-08:00,2021-12-31 05:55:00-08:00,18224,6283,0.2912301844813201,imports,21574,2021-12-30 09:10:00-08:00,22358.94,-44,3394,883,287,208,191,19,2268,6481,1364,-199,8361,0,,,,-0.009224066005376843,0.009139760253525009
71,2021-12-31 05:55:00-08:00,2021-12-31 06:00:00-08:00,18161,6416,0.2965839227106735,imports,21633,2021-12-30 09:10:00-08:00,22477.76,-44,3516,884,285,207,191,19,2267,6499,1377,-190,8289,0,,,,-0.008782878010447002,0.00870641066764423
72,2021-12-31 06:00:00-08:00,2021-12-31 06:05:00-08:00,18077,6559,0.3022859249700433,imports,21698,2021-12-30 09:10:00-08:00,22596.58,-44,3665,884,284,208,191,18,2268,6456,1371,-141,8213,0,,,,-0.006498294773711863,0.006456339575987911
73,2021-12-31 06:05:00-08:00,2021-12-31 06:10:00-08:00,18231,6707,0.30583675330597354,imports,21930,2021-12-30 09:10:00-08:00,22715.4,-44,3743,883,286,208,196,19,2268,6432,1435,-109,8288,0,,,,-0.004970360237118103,0.004945777939107945
