,interval_start_local,interval_end_local,load_forecast.load_forecast,net_load,renewables,renewables_to_load_ratio,load.load,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other
1468,2023-03-03 04:00:00-08:00,2023-03-03 05:00:00-08:00,21895.605416666665,18138.58333333333,6704.583333333333,0.3111331969511228,21548.916666666668,-30.75,3441.083333333333,787.3333333333334,276.25,204.66666666666663,189.0,2.9166666666666665,2263.833333333333,9830.916666666666,1837.0,65.08333333333333,4312.083333333333,0.0
1469,2023-03-03 05:00:00-08:00,2023-03-03 06:00:00-08:00,23353.8175,19880.0,6816.416666666667,0.2954581575449344,23070.666666666668,-31.5,3222.1666666666665,789.5,280.0833333333333,207.66666666666663,201.5,4.0,2264.75,10921.166666666668,2147.0,839.0,4014.75,0.0
1470,2023-03-03 06:00:00-08:00,2023-03-03 07:00:00-08:00,25376.4575,21308.5,7858.166666666667,0.3129278790473251,25111.75,602.75,3200.5,789.8333333333334,289.5,207.16666666666663,205.66666666666663,2.333333333333333,2265.333333333333,11356.083333333332,2562.75,1822.3333333333333,3737.9166666666665,0.0
1471,2023-03-03 07:00:00-08:00,2023-03-03 08:00:00-08:00,25690.25458333333,15854.416666666668,12756.583333333332,0.5064614957055702,25187.666666666668,6434.25,2899.0,790.3333333333334,299.1666666666667,206.08333333333331,206.83333333333331,2.5,2263.9166666666665,10767.25,1920.9166666666667,-129.91666666666666,2215.25,0.0
1472,2023-03-03 08:00:00-08:00,2023-03-03 09:00:00-08:00,24166.38770833333,9085.333333333334,17038.083333333332,0.731460115412548,23293.25,11652.083333333332,2555.833333333333,789.75,301.1666666666667,205.83333333333331,208.41666666666663,2.75,2263.5,7605.166666666667,1325.0,-1005.5833333333334,1162.1666666666667,0.0
1473,2023-03-03 09:00:00-08:00,2023-03-03 10:00:00-08:00,22361.716041666667,6538.666666666667,16959.083333333332,0.8000982878260698,21196.25,12802.75,1854.8333333333333,788.0,302.75,205.5,194.75,3.0,2264.0,5784.416666666667,810.5,-775.0833333333334,690.6666666666666,0.0
1474,2023-03-03 10:00:00-08:00,2023-03-03 11:00:00-08:00,20759.603541666667,5249.666666666667,16042.5,0.8357354958584403,19195.666666666668,12811.0,1135.0,787.25,305.8333333333333,208.58333333333331,193.16666666666663,3.75,2262.9166666666665,5562.916666666667,601.6666666666666,-991.5,198.33333333333331,0.0
1475,2023-03-03 11:00:00-08:00,2023-03-03 12:00:00-08:00,19555.525833333333,3933.3333333333335,15530.333333333332,0.8833882397554096,17580.416666666668,12709.083333333332,938.0,785.8333333333334,309.0,209.08333333333331,193.66666666666663,3.4166666666666665,2261.9166666666665,5900.833333333333,385.6666666666667,-1602.3333333333333,-279.8333333333333,0.0
1476,2023-03-03 12:00:00-08:00,2023-03-03 13:00:00-08:00,18848.11291666667,4181.333333333333,14374.083333333332,0.8578640062068553,16755.666666666668,11741.166666666668,833.1666666666666,785.75,294.8333333333333,213.66666666666663,196.83333333333331,4.0,2261.833333333333,5723.916666666667,308.6666666666667,-1483.3333333333333,11.0,0.0
1477,2023-03-03 13:00:00-08:00,2023-03-03 14:00:00-08:00,18750.9975,4388.5,14088.916666666668,0.8445453500976587,16682.25,11457.416666666668,836.3333333333334,785.75,282.0,212.91666666666663,198.91666666666663,3.75,2261.6666666666665,5396.5,315.5833333333333,-1082.75,-263.0833333333333,0.0
